id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Juan Manuel Mata García,2,0,6,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,2,0,0,0,0,0,1,0
Didier Yves Drogba Tébily,1,2,0,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Lampard,1,4,8,0,0,1,0,4,0,1,3,0,0,0,2,0,0,1,0,0,9,1,3,0,0,3,0,0,0,0,0,0,2,0
Gary Cahill,1,1,6,0,0,0,0,0,3,2,2,0,0,1,0,0,0,0,1,3,2,2,1,0,0,0,1,0,0,0,0,0,1,0
Petr Čech,1,1,2,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz Moreira Marinho,1,0,6,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,1,0
Ashley Cole,2,0,4,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
John Michael Nchekwube Obinna,2,0,8,0,0,0,0,0,0,3,4,0,0,0,0,1,0,1,2,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0
Salomon Armand Magloire Kalou,1,3,2,0,0,0,1,0,3,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
José Bosingwa da Silva,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Ryan Bertrand/Florent Malouda,0,2,0,1,0,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
