id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Hiroki Sakai,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,3,1,2,8,0,0,0,1,0,1,0,0,0,0,7,0
Gaku Shibasaki,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,21,0
Yūya Ōsako,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,6,4,2,0,0,2,0,3,0,0,0,0,11,0
Makoto Hasebe,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,1,0,0,0,0,18,0
Yuto Nagatomo,0,1,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,2,2,0,5,0,0,0,0,0,2,0,0,0,0,10,0
Gen Shōji,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,4,0,0,0,0,0,0,0,0,0,13,0
Shinji Kagawa,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,3,1,4,0,0,1,0,3,0,0,0,0,15,0
Maya Yoshida,0,4,1,0,0,0,0,2,0,0,6,0,0,0,0,1,0,2,0,0,2,0,2,0,2,0,0,1,5,0,0,0,6,0
Genki Haraguchi,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,0,2,0,1,0,0,0,5,0
Takashi Inui,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,7,1,0,0,0,0,3,0,0,0,0,13,0
Eiji Kawashima,0,2,1,0,0,1,1,0,4,3,2,0,0,0,0,0,0,1,6,1,0,5,0,0,2,0,0,0,1,0,0,0,1,0
